solarSystemName,SolarSystemID,constellationID,regionID,wormholeClass,wormholeEffect,statics
J171818,31000047,21000315,11000001,1,Magnetar,J244
J145337,31000048,21000315,11000001,1,,J244
J150131,31000049,21000315,11000001,1,,J244
J130842,31000050,21000315,11000001,1,,J244
J145406,31000051,21000315,11000001,1,,J244
J103404,31000052,21000315,11000001,1,Wolf-Rayet Star,J244
J112124,31000053,21000315,11000001,1,,J244
J124926,31000054,21000316,11000001,1,Cataclysmic Variable,J244
J232605,31000055,21000316,11000001,1,,J244
J144938,31000056,21000316,11000001,1,,J244
J233828,31000057,21000316,11000001,1,,J244
J130714,31000058,21000316,11000001,1,Black Hole,J244
J142701,31000059,21000316,11000001,1,,J244
J154226,31000060,21000316,11000001,1,,J244
J125843,31000061,21000316,11000001,1,,J244
J155459,31000062,21000316,11000001,1,,J244
J225555,31000063,21000317,11000001,1,Magnetar,J244
J115549,31000064,21000317,11000001,1,,J244
J140741,31000065,21000317,11000001,1,Black Hole,J244
J104140,31000066,21000317,11000001,1,,J244
J101757,31000067,21000317,11000001,1,Black Hole,J244
J100250,31000068,21000317,11000001,1,,J244
J113721,31000069,21000317,11000001,1,,J244
J105039,31000070,21000317,11000001,1,Pulsar,J244
J233550,31000071,21000317,11000001,1,,J244
J114033,31000072,21000318,11000001,1,Wolf-Rayet Star,J244
J105936,31000073,21000318,11000001,1,Red Giant,J244
J140121,31000074,21000318,11000001,1,Magnetar,J244
J154029,31000075,21000318,11000001,1,,J244
J101336,31000076,21000318,11000001,1,Cataclysmic Variable,J244
J160039,31000077,21000318,11000001,1,,J244
J161257,31000078,21000318,11000001,1,Red Giant,J244
J144303,31000079,21000318,11000001,1,,J244
J121131,31000080,21000318,11000001,1,Wolf-Rayet Star,J244
J113653,31000081,21000318,11000001,1,,J244
J123454,31000082,21000318,11000001,1,Wolf-Rayet Star,J244
J110750,31000083,21000318,11000001,1,,J244
J151106,31000084,21000319,11000001,1,Magnetar,J244
J100040,31000085,21000319,11000001,1,Black Hole,J244
J223733,31000086,21000319,11000001,1,,J244
J110431,31000087,21000319,11000001,1,Cataclysmic Variable,J244
J134446,31000088,21000319,11000001,1,,J244
J143202,31000089,21000319,11000001,1,,J244
J210436,31000090,21000319,11000001,1,,J244
J133030,31000091,21000319,11000001,1,Cataclysmic Variable,J244
J170645,31000092,21000319,11000001,1,,J244
J103151,31000093,21000320,11000001,1,Pulsar,J244
J222206,31000094,21000320,11000001,1,,J244
J130602,31000095,21000320,11000001,1,,J244
J123708,31000096,21000320,11000001,1,,J244
J123831,31000097,21000320,11000001,1,,J244
J164927,31000098,21000320,11000001,1,,J244
J134143,31000099,21000320,11000001,1,,J244
J214534,31000100,21000320,11000001,1,,J244
J135250,31000101,21000320,11000001,1,,J244
J111707,31000102,21000320,11000001,1,,J244
J135245,31000103,21000320,11000001,1,,J244
J101408,31000104,21000320,11000001,1,,J244
J215117,31000105,21000321,11000001,1,,J244
J141019,31000106,21000321,11000001,1,,J244
J102206,31000107,21000321,11000001,1,,J244
J125903,31000108,21000321,11000001,1,,J244
J134939,31000109,21000321,11000001,1,,J244
J162641,31000110,21000321,11000001,1,Red Giant,J244
J152537,31000111,21000321,11000001,1,Black Hole,J244
J224442,31000112,21000321,11000001,1,Black Hole,J244
J104138,31000113,21000321,11000001,1,Magnetar,J244
J121516,31000114,21000321,11000001,1,,J244
J114540,31000115,21000321,11000001,1,,J244
J155013,31000116,21000321,11000001,1,,J244
J144450,31000117,21000322,11000001,1,,J244
J141239,31000118,21000322,11000001,1,,J244
J115545,31000119,21000322,11000001,1,,J244
J114905,31000120,21000322,11000001,1,,J244
J120522,31000121,21000322,11000001,1,,J244
J172907,31000122,21000322,11000001,1,Pulsar,J244
J164550,31000123,21000322,11000001,1,Magnetar,J244
J141812,31000124,21000322,11000001,1,,J244
J134637,31000125,21000322,11000001,1,,J244
J134132,31000126,21000322,11000001,1,,J244
J125011,31000127,21000322,11000001,1,,J244
J105942,31000128,21000323,11000001,1,Cataclysmic Variable,J244
J171653,31000129,21000323,11000001,1,,J244
J110213,31000130,21000323,11000001,1,,J244
J115048,31000131,21000323,11000001,1,,J244
J174405,31000132,21000323,11000001,1,Wolf-Rayet Star,J244
J123111,31000133,21000323,11000001,1,,J244
J123047,31000134,21000323,11000001,1,,J244
J231541,31000135,21000323,11000001,1,,J244
J215900,31000136,21000323,11000001,1,Cataclysmic Variable,J244
J110651,31000137,21000323,11000001,1,,J244
J140602,31000138,21000323,11000001,1,,J244
J163804,31000139,21000323,11000001,1,Wolf-Rayet Star,J244
J125209,31000140,21000001,11000002,1,Magnetar,N110
J140831,31000141,21000001,11000002,1,,N110
J161811,31000142,21000001,11000002,1,,N110
J112913,31000143,21000001,11000002,1,,N110
J105632,31000144,21000001,11000002,1,,N110
J160710,31000145,21000001,11000002,1,,N110
J160835,31000146,21000001,11000002,1,,N110
J122659,31000147,21000001,11000002,1,,N110
J130931,31000148,21000001,11000002,1,,N110
J161115,31000149,21000001,11000002,1,,N110
J120734,31000150,21000001,11000002,1,,N110
J110906,31000151,21000002,11000002,1,,N110
J121418,31000152,21000002,11000002,1,,N110
J113820,31000153,21000002,11000002,1,,N110
J113506,31000154,21000002,11000002,1,,N110
J172240,31000155,21000002,11000002,1,,N110
J110101,31000156,21000002,11000002,1,,N110
J110108,31000157,21000002,11000002,1,,N110
J213555,31000158,21000002,11000002,1,Black Hole,N110
J144704,31000159,21000002,11000002,1,,N110
J115815,31000160,21000002,11000002,1,,N110
J133653,31000161,21000002,11000002,1,,N110
J171700,31000162,21000002,11000002,1,,N110
J104628,31000163,21000003,11000002,1,,N110
J114546,31000164,21000003,11000002,1,,N110
J235419,31000165,21000003,11000002,1,,N110
J204503,31000166,21000003,11000002,1,Magnetar,N110
J215417,31000167,21000003,11000002,1,,N110
J110545,31000168,21000003,11000002,1,,N110
J153536,31000169,21000003,11000002,1,,N110
J150407,31000170,21000003,11000002,1,Red Giant,N110
J153530,31000171,21000003,11000002,1,,N110
J131232,31000172,21000003,11000002,1,,N110
J101020,31000173,21000003,11000002,1,,N110
J133613,31000174,21000004,11000002,1,,N110
J165901,31000175,21000004,11000002,1,,N110
J152006,31000176,21000004,11000002,1,,N110
J160345,31000177,21000004,11000002,1,,N110
J134330,31000178,21000004,11000002,1,,N110
J213342,31000179,21000004,11000002,1,,N110
J150745,31000180,21000004,11000002,1,,N110
J165056,31000181,21000004,11000002,1,,N110
J150827,31000182,21000004,11000002,1,,N110
J144632,31000183,21000004,11000002,1,,N110
J102630,31000184,21000004,11000002,1,,N110
J133335,31000185,21000004,11000002,1,,N110
J125925,31000186,21000005,11000002,1,,N110
J142617,31000187,21000005,11000002,1,,N110
J150818,31000188,21000005,11000002,1,Pulsar,N110
J114420,31000189,21000005,11000002,1,,N110
J112250,31000190,21000005,11000002,1,,N110
J155935,31000191,21000005,11000002,1,,N110
J115738,31000192,21000005,11000002,1,Pulsar,N110
J232715,31000193,21000005,11000002,1,,N110
J110051,31000194,21000005,11000002,1,,N110
J152928,31000195,21000006,11000002,1,,N110
J132216,31000196,21000006,11000002,1,,N110
J132758,31000197,21000006,11000002,1,Cataclysmic Variable,N110
J134145,31000198,21000006,11000002,1,Pulsar,N110
J102849,31000199,21000006,11000002,1,,N110
J120335,31000200,21000006,11000002,1,,N110
J104439,31000201,21000006,11000002,1,Wolf-Rayet Star,N110
J122717,31000202,21000006,11000002,1,,N110
J101817,31000203,21000006,11000002,1,,N110
J131551,31000204,21000006,11000002,1,Black Hole,N110
J115200,31000205,21000007,11000002,1,,N110
J155029,31000206,21000007,11000002,1,Black Hole,N110
J223703,31000207,21000007,11000002,1,,N110
J233359,31000208,21000007,11000002,1,,N110
J114107,31000209,21000007,11000002,1,,N110
J152014,31000210,21000007,11000002,1,,N110
J100211,31000211,21000007,11000002,1,,N110
J104103,31000212,21000007,11000002,1,,N110
J171019,31000213,21000007,11000002,1,Cataclysmic Variable,N110
J114313,31000214,21000007,11000002,1,,N110
J130542,31000215,21000008,11000002,1,,N110
J114719,31000216,21000008,11000002,1,,N110
J130322,31000217,21000008,11000002,1,,N110
J161524,31000218,21000008,11000002,1,Pulsar,N110
J162858,31000219,21000008,11000002,1,,N110
J121158,31000220,21000008,11000002,1,Black Hole,N110
J113050,31000221,21000008,11000002,1,,N110
J141514,31000222,21000008,11000002,1,,N110
J220654,31000223,21000008,11000002,1,,N110
J162118,31000224,21000008,11000002,1,Cataclysmic Variable,N110
J231004,31000225,21000008,11000002,1,Cataclysmic Variable,N110
J120621,31000226,21000008,11000002,1,,N110
J151601,31000227,21000009,11000002,1,,N110
J105837,31000228,21000009,11000002,1,,N110
J143133,31000229,21000009,11000002,1,,N110
J100422,31000230,21000009,11000002,1,Red Giant,N110
J104335,31000231,21000009,11000002,1,Wolf-Rayet Star,N110
J105700,31000232,21000009,11000002,1,,N110
J215431,31000233,21000009,11000002,1,,N110
J143628,31000234,21000009,11000002,1,,N110
J141150,31000235,21000009,11000002,1,,N110
J163743,31000236,21000009,11000002,1,,N110
J161509,31000237,21000009,11000002,1,,N110
J150629,31000238,21000009,11000002,1,,N110
J141017,31000239,21000010,11000002,1,,N110
J130045,31000240,21000010,11000002,1,,N110
J123748,31000241,21000010,11000002,1,,N110
J124051,31000242,21000010,11000002,1,,N110
J151141,31000243,21000010,11000002,1,,N110
J112129,31000244,21000010,11000002,1,,N110
J213653,31000245,21000010,11000002,1,,N110
J143649,31000246,21000010,11000002,1,,N110
J223855,31000247,21000010,11000002,1,Red Giant,N110
J140019,31000248,21000010,11000002,1,Black Hole,N110
J110605,31000249,21000010,11000002,1,,N110
J122843,31000250,21000010,11000002,1,Pulsar,N110
J205004,31000251,21000011,11000002,1,,N110
J122114,31000252,21000011,11000002,1,,N110
J163533,31000253,21000011,11000002,1,Pulsar,N110
J151518,31000254,21000011,11000002,1,,N110
J122712,31000255,21000011,11000002,1,,N110
J143002,31000256,21000011,11000002,1,Black Hole,N110
J160307,31000257,21000011,11000002,1,Red Giant,N110
J213932,31000258,21000011,11000002,1,,N110
J102414,31000259,21000011,11000002,1,,N110
J170949,31000260,21000011,11000002,1,,N110
J235001,31000261,21000012,11000002,1,,N110
J103320,31000262,21000012,11000002,1,,N110
J141038,31000263,21000012,11000002,1,Wolf-Rayet Star,N110
J172003,31000264,21000012,11000002,1,,N110
J124215,31000265,21000012,11000002,1,Magnetar,N110
J215754,31000266,21000012,11000002,1,Red Giant,N110
J102837,31000267,21000012,11000002,1,Cataclysmic Variable,N110
J130155,31000268,21000012,11000002,1,,N110
J170544,31000269,21000012,11000002,1,,N110
J142649,31000270,21000012,11000002,1,,N110
J150539,31000271,21000013,11000002,1,Black Hole,N110
J163156,31000272,21000013,11000002,1,,N110
J120338,31000273,21000013,11000002,1,Wolf-Rayet Star,N110
J142941,31000274,21000013,11000002,1,Magnetar,N110
J110126,31000275,21000013,11000002,1,,N110
J155504,31000276,21000013,11000002,1,,N110
J144228,31000277,21000013,11000002,1,Red Giant,N110
J223650,31000278,21000013,11000002,1,,N110
J102734,31000279,21000013,11000002,1,,N110
J105232,31000280,21000013,11000002,1,,N110
J133128,31000281,21000013,11000002,1,,N110
J140135,31000282,21000014,11000002,1,Pulsar,N110
J115216,31000283,21000014,11000002,1,,N110
J153311,31000284,21000014,11000002,1,,N110
J164756,31000285,21000014,11000002,1,,N110
J165216,31000286,21000014,11000002,1,Red Giant,N110
J114914,31000287,21000014,11000002,1,Cataclysmic Variable,N110
J212504,31000288,21000014,11000002,1,Wolf-Rayet Star,N110
J120256,31000289,21000014,11000002,1,,N110
J143421,31000290,21000014,11000002,1,,N110
J223026,31000291,21000014,11000002,1,,N110
J102918,31000292,21000014,11000002,1,,N110
J142136,31000293,21000015,11000003,1,,N110
J134540,31000294,21000015,11000003,1,,N110
J124451,31000295,21000015,11000003,1,,N110
J102749,31000296,21000015,11000003,1,,N110
J165741,31000297,21000015,11000003,1,Cataclysmic Variable,N110
J142119,31000298,21000015,11000003,1,,N110
J105642,31000299,21000015,11000003,1,,N110
J154354,31000300,21000015,11000003,1,Magnetar,N110
J102005,31000301,21000015,11000003,1,,N110
J133052,31000302,21000015,11000003,1,,N110
J103341,31000303,21000015,11000003,1,,N110
J142114,31000304,21000015,11000003,1,,N110
J152353,31000305,21000016,11000003,1,,N110
J120431,31000306,21000016,11000003,1,,N110
J103547,31000307,21000016,11000003,1,,N110
J161107,31000308,21000016,11000003,1,,N110
J160334,31000309,21000016,11000003,1,Black Hole,N110
J101845,31000310,21000016,11000003,1,,N110
J171805,31000311,21000016,11000003,1,Red Giant,N110
J134610,31000312,21000016,11000003,1,Wolf-Rayet Star,N110
J173842,31000313,21000016,11000003,1,,N110
J155203,31000314,21000017,11000003,1,Wolf-Rayet Star,N110
J121935,31000315,21000017,11000003,1,,N110
J105013,31000316,21000017,11000003,1,Cataclysmic Variable,N110
J161846,31000317,21000017,11000003,1,,N110
J113632,31000318,21000017,11000003,1,Magnetar,N110
J170106,31000319,21000017,11000003,1,,N110
J123828,31000320,21000017,11000003,1,,N110
J172147,31000321,21000017,11000003,1,,N110
J164759,31000322,21000017,11000003,1,,N110
J212957,31000323,21000018,11000003,1,,N110
J212338,31000324,21000018,11000003,1,,N110
J115823,31000325,21000018,11000003,1,,N110
J112744,31000326,21000018,11000003,1,,N110
J121941,31000327,21000018,11000003,1,,N110
J125650,31000328,21000018,11000003,1,,N110
J161344,31000329,21000018,11000003,1,Black Hole,N110
J134833,31000330,21000018,11000003,1,,N110
J143517,31000331,21000018,11000003,1,Black Hole,N110
J133245,31000332,21000018,11000003,1,Red Giant,N110
J113918,31000333,21000018,11000003,1,,N110
J161644,31000334,21000019,11000003,1,,N110
J152257,31000335,21000019,11000003,1,,N110
J155833,31000336,21000019,11000003,1,Magnetar,N110
J151332,31000337,21000019,11000003,1,,N110
J231306,31000338,21000019,11000003,1,Wolf-Rayet Star,N110
J171312,31000339,21000019,11000003,1,,N110
J112406,31000340,21000019,11000003,1,Cataclysmic Variable,N110
J212904,31000341,21000019,11000003,1,,N110
J111811,31000342,21000019,11000003,1,,N110
J104201,31000343,21000020,11000003,1,,N110
J150216,31000344,21000020,11000003,1,,N110
J112934,31000345,21000020,11000003,1,,N110
J115808,31000346,21000020,11000003,1,,N110
J121915,31000347,21000020,11000003,1,,N110
J133259,31000348,21000020,11000003,1,,N110
J150325,31000349,21000020,11000003,1,,N110
J122224,31000350,21000020,11000003,1,,N110
J131702,31000351,21000020,11000003,1,Pulsar,N110
J141807,31000352,21000020,11000003,1,,N110
J142327,31000353,21000020,11000003,1,,N110
J144822,31000354,21000020,11000003,1,,N110
J164417,31000355,21000021,11000004,2,,"B274, O477"
J125227,31000356,21000021,11000004,2,Pulsar,"B274, O477"
J113057,31000357,21000021,11000004,2,,"B274, O477"
J101524,31000358,21000021,11000004,2,,"B274, O477"
J124508,31000359,21000021,11000004,2,,"B274, O477"
J141156,31000360,21000021,11000004,2,,"B274, O477"
J222822,31000361,21000021,11000004,2,,"B274, O477"
J104253,31000362,21000021,11000004,2,,"B274, O477"
J144153,31000363,21000021,11000004,2,,"B274, O477"
J103406,31000364,21000022,11000004,2,Pulsar,"B274, O477"
J133210,31000365,21000022,11000004,2,,"B274, O477"
J111740,31000366,21000022,11000004,2,,"B274, O477"
J125956,31000367,21000022,11000004,2,,"B274, O477"
J105951,31000368,21000022,11000004,2,,"B274, O477"
J141857,31000369,21000022,11000004,2,,"B274, O477"
J120726,31000370,21000022,11000004,2,,"B274, O477"
J155737,31000371,21000022,11000004,2,Pulsar,"B274, O477"
J144605,31000372,21000022,11000004,2,,"B274, O477"
J144218,31000373,21000022,11000004,2,,"B274, O477"
J114835,31000374,21000022,11000004,2,,"B274, O477"
J134006,31000375,21000023,11000004,2,,"B274, O477"
J160941,31000376,21000023,11000004,2,,"B274, O477"
J111557,31000377,21000023,11000004,2,,"B274, O477"
J124219,31000378,21000023,11000004,2,,"B274, O477"
J155620,31000379,21000023,11000004,2,Wolf-Rayet Star,"B274, O477"
J114346,31000380,21000023,11000004,2,,"B274, O477"
J153532,31000381,21000023,11000004,2,Pulsar,"B274, O477"
J211936,31000382,21000023,11000004,2,,"B274, O477"
J211036,31000383,21000023,11000004,2,,"B274, O477"
J145805,31000384,21000023,11000004,2,,"B274, O477"
J151548,31000385,21000023,11000004,2,Magnetar,"B274, O477"
J160412,31000386,21000024,11000004,2,Pulsar,"B274, O477"
J104008,31000387,21000024,11000004,2,,"B274, O477"
J145715,31000388,21000024,11000004,2,,"B274, O477"
J235321,31000389,21000024,11000004,2,Cataclysmic Variable,"B274, O477"
J103339,31000390,21000024,11000004,2,,"B274, O477"
J132009,31000391,21000024,11000004,2,,"B274, O477"
J210548,31000392,21000024,11000004,2,,"B274, O477"
J235408,31000393,21000024,11000004,2,,"B274, O477"
J122821,31000394,21000024,11000004,2,,"B274, O477"
J121925,31000395,21000024,11000004,2,Cataclysmic Variable,"B274, O477"
J151047,31000396,21000024,11000004,2,Pulsar,"B274, O477"
J111011,31000397,21000024,11000004,2,,"B274, O477"
J154212,31000398,21000025,11000004,2,,"B274, O477"
J130256,31000399,21000025,11000004,2,Magnetar,"B274, O477"
J113230,31000400,21000025,11000004,2,,"B274, O477"
J132557,31000401,21000025,11000004,2,,"B274, O477"
J233534,31000402,21000025,11000004,2,Magnetar,"B274, O477"
J232801,31000403,21000025,11000004,2,,"B274, O477"
J153627,31000404,21000025,11000004,2,Magnetar,"B274, O477"
J134800,31000405,21000025,11000004,2,,"B274, O477"
J111508,31000406,21000025,11000004,2,,"B274, O477"
J143639,31000407,21000025,11000004,2,,"B274, O477"
J160753,31000408,21000026,11000004,2,,"B274, O477"
J151231,31000409,21000026,11000004,2,,"B274, O477"
J142547,31000410,21000026,11000004,2,,"B274, O477"
J142306,31000411,21000026,11000004,2,,"B274, O477"
J210422,31000412,21000026,11000004,2,,"B274, O477"
J112137,31000413,21000026,11000004,2,,"B274, O477"
J160715,31000414,21000026,11000004,2,Black Hole,"B274, O477"
J145931,31000415,21000026,11000004,2,,"B274, O477"
J103217,31000416,21000026,11000004,2,Magnetar,"B274, O477"
J143505,31000417,21000026,11000004,2,,"B274, O477"
J142533,31000418,21000027,11000004,2,Pulsar,"B274, O477"
J112146,31000419,21000027,11000004,2,Red Giant,"B274, O477"
J103839,31000420,21000027,11000004,2,Wolf-Rayet Star,"B274, O477"
J152433,31000421,21000027,11000004,2,Red Giant,"B274, O477"
J110408,31000422,21000027,11000004,2,,"B274, O477"
J205546,31000423,21000027,11000004,2,,"B274, O477"
J152801,31000424,21000027,11000004,2,Pulsar,"B274, O477"
J120308,31000425,21000027,11000004,2,,"B274, O477"
J103948,31000426,21000027,11000004,2,,"B274, O477"
J112820,31000427,21000028,11000004,2,,"B274, O477"
J231837,31000428,21000028,11000004,2,,"B274, O477"
J110043,31000429,21000028,11000004,2,,"B274, O477"
J121454,31000430,21000028,11000004,2,,"B274, O477"
J230959,31000431,21000028,11000004,2,,"B274, O477"
J103408,31000432,21000028,11000004,2,Red Giant,"B274, O477"
J162720,31000433,21000028,11000004,2,Red Giant,"B274, O477"
J132418,31000434,21000028,11000004,2,,"B274, O477"
J164235,31000435,21000028,11000004,2,Pulsar,"B274, O477"
J143429,31000436,21000029,11000004,2,,"B274, O477"
J134654,31000437,21000029,11000004,2,,"B274, O477"
J112801,31000438,21000029,11000004,2,,"B274, O477"
J110656,31000439,21000029,11000004,2,,"B274, O477"
J134951,31000440,21000029,11000004,2,,"B274, O477"
J155307,31000441,21000029,11000004,2,,"B274, O477"
J131204,31000442,21000029,11000004,2,,"B274, O477"
J213737,31000443,21000029,11000004,2,Black Hole,"B274, O477"
J235117,31000444,21000029,11000004,2,,"B274, O477"
J164938,31000445,21000029,11000004,2,,"B274, O477"
J120310,31000446,21000029,11000004,2,Black Hole,"B274, O477"
J144838,31000447,21000029,11000004,2,,"B274, O477"
J101307,31000448,21000030,11000004,2,,"B274, O477"
J172354,31000449,21000030,11000004,2,,"B274, O477"
J235447,31000450,21000030,11000004,2,,"B274, O477"
J124023,31000451,21000030,11000004,2,,"B274, O477"
J171424,31000452,21000030,11000004,2,,"B274, O477"
J150921,31000453,21000030,11000004,2,,"B274, O477"
J171518,31000454,21000030,11000004,2,,"B274, O477"
J140012,31000455,21000030,11000004,2,,"B274, O477"
J155616,31000456,21000030,11000004,2,Black Hole,"B274, O477"
J234557,31000457,21000030,11000004,2,,"B274, O477"
J162700,31000458,21000030,11000004,2,,"B274, O477"
J103716,31000459,21000031,11000005,2,,"B274, Y683"
J100640,31000460,21000031,11000005,2,,"B274, Y683"
J151250,31000461,21000031,11000005,2,,"B274, Y683"
J141332,31000462,21000031,11000005,2,Wolf-Rayet Star,"B274, Y683"
J211915,31000463,21000031,11000005,2,Cataclysmic Variable,"B274, Y683"
J144546,31000464,21000031,11000005,2,Pulsar,"B274, Y683"
J145759,31000465,21000031,11000005,2,,"B274, Y683"
J103422,31000466,21000031,11000005,2,Wolf-Rayet Star,"B274, Y683"
J130222,31000467,21000031,11000005,2,,"B274, Y683"
J165357,31000468,21000032,11000005,2,,"B274, Y683"
J105321,31000469,21000032,11000005,2,,"B274, Y683"
J105803,31000470,21000032,11000005,2,,"B274, Y683"
J130209,31000471,21000032,11000005,2,,"B274, Y683"
J122832,31000472,21000032,11000005,2,Red Giant,"B274, Y683"
J143359,31000473,21000032,11000005,2,,"B274, Y683"
J100447,31000474,21000032,11000005,2,Black Hole,"B274, Y683"
J115651,31000475,21000032,11000005,2,,"B274, Y683"
J134323,31000476,21000032,11000005,2,Wolf-Rayet Star,"B274, Y683"
J160014,31000477,21000032,11000005,2,Red Giant,"B274, Y683"
J110823,31000478,21000032,11000005,2,Red Giant,"B274, Y683"
J100246,31000479,21000033,11000005,2,,"B274, Y683"
J131221,31000480,21000033,11000005,2,,"B274, Y683"
J145155,31000481,21000033,11000005,2,,"B274, Y683"
J114405,31000482,21000033,11000005,2,,"B274, Y683"
J215537,31000483,21000033,11000005,2,,"B274, Y683"
J172551,31000484,21000033,11000005,2,,"B274, Y683"
J131107,31000485,21000033,11000005,2,Black Hole,"B274, Y683"
J113108,31000486,21000033,11000005,2,,"B274, Y683"
J172556,31000487,21000033,11000005,2,,"B274, Y683"
J123450,31000488,21000033,11000005,2,Wolf-Rayet Star,"B274, Y683"
J135809,31000489,21000033,11000005,2,Red Giant,"B274, Y683"
J212319,31000490,21000034,11000005,2,Pulsar,"B274, Y683"
J104210,31000491,21000034,11000005,2,Pulsar,"B274, Y683"
J170038,31000492,21000034,11000005,2,Black Hole,"B274, Y683"
J104115,31000493,21000034,11000005,2,,"B274, Y683"
J114758,31000494,21000034,11000005,2,Pulsar,"B274, Y683"
J231517,31000495,21000034,11000005,2,Cataclysmic Variable,"B274, Y683"
J114055,31000496,21000034,11000005,2,,"B274, Y683"
J120619,31000497,21000034,11000005,2,,"B274, Y683"
J213058,31000498,21000034,11000005,2,,"B274, Y683"
J162430,31000499,21000035,11000005,2,,"B274, Y683"
J120928,31000500,21000035,11000005,2,Red Giant,"B274, Y683"
J132918,31000501,21000035,11000005,2,,"B274, Y683"
J105203,31000502,21000035,11000005,2,,"B274, Y683"
J104328,31000503,21000035,11000005,2,,"B274, Y683"
J130854,31000504,21000035,11000005,2,,"B274, Y683"
J164130,31000505,21000035,11000005,2,,"B274, Y683"
J110316,31000506,21000035,11000005,2,,"B274, Y683"
J122331,31000507,21000035,11000005,2,,"B274, Y683"
J133419,31000508,21000036,11000005,2,Cataclysmic Variable,"B274, Y683"
J150137,31000509,21000036,11000005,2,,"B274, Y683"
J140112,31000510,21000036,11000005,2,,"B274, Y683"
J125721,31000511,21000036,11000005,2,,"B274, Y683"
J154515,31000512,21000036,11000005,2,,"B274, Y683"
J135703,31000513,21000036,11000005,2,Pulsar,"B274, Y683"
J102347,31000514,21000036,11000005,2,,"B274, Y683"
J234942,31000515,21000036,11000005,2,Red Giant,"B274, Y683"
J134618,31000516,21000036,11000005,2,Black Hole,"B274, Y683"
J154858,31000517,21000036,11000005,2,,"B274, Y683"
J132052,31000518,21000036,11000005,2,Magnetar,"B274, Y683"
J114046,31000519,21000037,11000005,2,Red Giant,"B274, Y683"
J150859,31000520,21000037,11000005,2,,"B274, Y683"
J151615,31000521,21000037,11000005,2,Cataclysmic Variable,"B274, Y683"
J122246,31000522,21000037,11000005,2,,"B274, Y683"
J132559,31000523,21000037,11000005,2,,"B274, Y683"
J230207,31000524,21000037,11000005,2,,"B274, Y683"
J140308,31000525,21000037,11000005,2,,"B274, Y683"
J140642,31000526,21000037,11000005,2,,"B274, Y683"
J114306,31000527,21000037,11000005,2,,"B274, Y683"
J154606,31000528,21000037,11000005,2,,"B274, Y683"
J135910,31000529,21000037,11000005,2,Cataclysmic Variable,"B274, Y683"
J132024,31000530,21000038,11000005,2,,"B274, Y683"
J160311,31000531,21000038,11000005,2,,"B274, Y683"
J142239,31000532,21000038,11000005,2,,"B274, Y683"
J101149,31000533,21000038,11000005,2,,"B274, Y683"
J154538,31000534,21000038,11000005,2,,"B274, Y683"
